time,U,C
47.095,0.7954953594514936,0.6761710555337695
47.096000000000004,0.795495809893026,0.6761714384090721
47.097,0.7954962602895166,0.6761718212460891
47.098,0.7954967106409696,0.6761722040448241
47.099000000000004,0.7954971609473899,0.6761725868052814
47.1,0.7954976112087817,0.6761729695274644
47.101,0.7954980614251496,0.6761733522113771
47.102000000000004,0.7954985115964981,0.6761737348570234
47.103,0.7954989617228317,0.6761741174644069
47.104,0.7954994118041551,0.6761745000335317
47.105000000000004,0.7954998618404725,0.6761748825644016
47.106,0.7955003118317885,0.6761752650570202
47.107,0.7955007617781076,0.6761756475113915
47.108000000000004,0.7955012116794343,0.6761760299275191
47.109,0.7955016615357732,0.6761764123054071
47.11,0.7955021113471287,0.6761767946450593
47.111000000000004,0.7955025611135053,0.6761771769464795
47.112,0.7955030108349075,0.6761775592096714
47.113,0.7955034605113398,0.6761779414346388
47.114000000000004,0.7955039101428067,0.6761783236213857
47.115,0.7955043597293128,0.6761787057699158
47.116,0.7955048092708623,0.676179087880233
47.117000000000004,0.79550525876746,0.676179469952341
47.118,0.7955057082191104,0.6761798519862438
47.119,0.7955061576258178,0.676180233981945
47.12,0.7955066069875867,0.6761806159394487
47.121,0.7955070563044218,0.6761809978587585
47.122,0.7955075055763273,0.6761813797398782
47.123,0.7955079548033079,0.6761817615828117
47.124,0.7955084039853682,0.6761821433875629
47.125,0.7955088531225124,0.6761825251541356
47.126,0.7955093022147451,0.6761829068825334
47.127,0.7955097512620709,0.6761832885727602
47.128,0.7955102002644943,0.6761836702248201
47.129,0.7955106492220195,0.6761840518387165
47.13,0.7955110981346513,0.6761844334144536
47.131,0.7955115470023941,0.676184814952035
47.132,0.7955119958252523,0.6761851964514645
47.133,0.7955124446032306,0.6761855779127459
47.134,0.7955128933363331,0.6761859593358831
47.135,0.7955133420245648,0.67618634072088
47.136,0.7955137906679297,0.6761867220677402
47.137,0.7955142392664327,0.6761871033764678
47.138,0.795514687820078,0.6761874846470662
47.139,0.7955151363288702,0.6761878658795396
47.14,0.7955155847928137,0.6761882470738916
47.141,0.7955160332119131,0.6761886282301262
47.142,0.7955164815861728,0.6761890093482469
47.143,0.7955169299155973,0.6761893904282577
47.144,0.7955173782001912,0.6761897714701625
47.145,0.7955178264399588,0.676190152473965
47.146,0.7955182746349047,0.676190533439669
47.147,0.7955187227850333,0.6761909143672783
47.148,0.7955191708903492,0.6761912952567968
47.149,0.7955196189508568,0.6761916761082283
47.15,0.7955200669665605,0.6761920569215765
47.151,0.7955205149374649,0.6761924376968451
47.152,0.7955209628635745,0.6761928184340383
47.153,0.7955214107448937,0.6761931991331596
47.154,0.795521858581427,0.6761935797942129
47.155,0.7955223063731789,0.676193960417202
47.156,0.7955227541201538,0.6761943410021307
47.157000000000004,0.7955232018223564,0.6761947215490028
47.158,0.7955236494797909,0.6761951020578223
47.159,0.7955240970924619,0.6761954825285925
47.160000000000004,0.7955245446603739,0.6761958629613178
47.161,0.7955249921835313,0.6761962433560016
47.162,0.7955254396619387,0.6761966237126479
47.163000000000004,0.7955258870956005,0.6761970040312604
47.164,0.795526334484521,0.6761973843118428
47.165,0.795526781828705,0.6761977645543992
47.166000000000004,0.7955272291281568,0.6761981447589333
47.167,0.7955276763828809,0.6761985249254487
47.168,0.7955281235928817,0.6761989050539494
47.169000000000004,0.7955285707581637,0.6761992851444392
47.17,0.7955290178787315,0.6761996651969218
47.171,0.7955294649545895,0.6762000452114011
47.172000000000004,0.7955299119857422,0.6762004251878808
47.173,0.7955303589721938,0.6762008051263647
47.174,0.7955308059139492,0.6762011850268568
47.175000000000004,0.7955312528110126,0.6762015648893607
47.176,0.7955316996633884,0.6762019447138802
47.177,0.7955321464710814,0.6762023245004192
47.178000000000004,0.7955325932340958,0.6762027042489813
47.179,0.7955330399524361,0.6762030839595706
47.18,0.7955334866261068,0.6762034636321907
